name,date,cases,hospitalizations,deaths,level
Middlesex,2020-04-29,631,37,76,county
New Haven,2020-04-29,7205,591,493,county
New London,2020-04-29,540,39,35,county
Tolland,2020-04-29,427,5,36,county
Windham,2020-04-29,165,4,2,county
Connecticut,2020-04-30,27700,1650,2257,state
Fairfield,2020-04-30,11294,565,810,county
Hartford,2020-04-30,5601,416,698,county
Litchfield,2020-04-30,963,21,80,county
Middlesex,2020-04-30,657,42,79,county
New Haven,2020-04-30,7536,557,512,county
New London,2020-04-30,564,41,36,county
Tolland,2020-04-30,437,4,36,county
Windham,2020-04-30,186,4,2,county
Connecticut,2020-05-01,28764,1592,2339,state
Fairfield,2020-05-01,11612,537,839,county
Hartford,2020-05-01,5931,413,715,county
Litchfield,2020-05-01,1014,22,86,county
Middlesex,2020-05-01,687,40,82,county
New Haven,2020-05-01,7900,533,533,county
New London,2020-05-01,603,38,42,county
Tolland,2020-05-01,446,6,38,county
Windham,2020-05-01,200,3,2,county
Connecticut,2020-05-02,29287,1551,2436,state
Fairfield,2020-05-02,11801,525,865,county
Hartford,2020-05-02,6112,400,741,county
Litchfield,2020-05-02,1036,22,89,county
Middlesex,2020-05-02,707,37,91,county
New Haven,2020-05-02,8024,523,565,county
New London,2020-05-02,623,33,43,county
Tolland,2020-05-02,461,6,39,county
Windham,2020-05-02,211,5,2,county
Connecticut,2020-05-03,29973,1464,2556,state
Fairfield,2020-05-03,12245,507,910,county
Hartford,2020-05-03,6173,362,773,county
Litchfield,2020-05-03,1047,23,94,county
Middlesex,2020-05-03,713,41,93,county
New Haven,2020-05-03,8110,487,595,county
New London,2020-05-03,641,33,45,county
Tolland,2020-05-03,464,6,40,county
Windham,2020-05-03,217,5,3,county
Connecticut,2020-05-04,30621,1500,2633,state
Fairfield,2020-05-04,12360,519,935,county
Hartford,2020-05-04,6351,369,804,county
Litchfield,2020-05-04,1065,24,95,county
Middlesex,2020-05-04,734,42,95,county
New Haven,2020-05-04,8337,504,610,county
New London,2020-05-04,681,34,45,county
Tolland,2020-05-04,502,7,43,county
Windham,2020-05-04,223,1,4,county
Connecticut,2020-05-05,30995,1445,2718,state
Fairfield,2020-05-05,12455,489,952,county
Hartford,2020-05-05,6530,361,842,county
Litchfield,2020-05-05,1085,21,100,county
Middlesex,2020-05-05,742,42,98,county
New Haven,2020-05-05,8419,487,629,county
New London,2020-05-05,704,36,47,county
Tolland,2020-05-05,513,6,44,county
Windham,2020-05-05,242,3,4,county
Connecticut,2020-05-06,31784,1385,2797,state
Fairfield,2020-05-06,12679,469,977,county
Hartford,2020-05-06,6750,340,867,county
Litchfield,2020-05-06,1114,20,104,county
Middlesex,2020-05-06,764,45,104,county
New Haven,2020-05-06,8678,468,643,county
New London,2020-05-06,742,35,49,county
Tolland,2020-05-06,522,5,46,county
Windham,2020-05-06,250,3,5,county
Connecticut,2020-05-07,32411,1336,2874,state
Fairfield,2020-05-07,12879,439,1006,county
Hartford,2020-05-07,6904,348,884,county
Litchfield,2020-05-07,1130,17,103,county
Middlesex,2020-05-07,775,41,108,county
New Haven,2020-05-07,8887,448,669,county
New London,2020-05-07,755,36,50,county
Tolland,2020-05-07,530,5,46,county
Windham,2020-05-07,249,2,5,county
Connecticut,2020-05-08,32984,1301,2932,state
Fairfield,2020-05-08,13030,424,1017,county
Hartford,2020-05-08,7105,339,901,county
Litchfield,2020-05-08,1142,15,105,county
Middlesex,2020-05-08,789,44,114,county
New Haven,2020-05-08,9091,437,686,county
New London,2020-05-08,775,33,54,county
Tolland,2020-05-08,540,5,46,county
Windham,2020-05-08,266,4,6,county
Connecticut,2020-05-09,33554,1242,2967,state
Fairfield,2020-05-09,13236,403,1024,county
Hartford,2020-05-09,7263,316,909,county
Litchfield,2020-05-09,1153,19,107,county
Middlesex,2020-05-09,798,47,115,county
New Haven,2020-05-09,9209,421,701,county
New London,2020-05-09,782,27,54,county
Tolland,2020-05-09,543,5,47,county
Windham,2020-05-09,270,4,7,county
Connecticut,2020-05-10,33765,1212,3008,state
Fairfield,2020-05-10,13312,384,1034,county
Hartford,2020-05-10,7358,328,921,county
Litchfield,2020-05-10,1161,17,109,county
Middlesex,2020-05-10,801,42,115,county
New Haven,2020-05-10,9260,405,716,county
New London,2020-05-10,784,26,56,county
Tolland,2020-05-10,545,4,47,county
Windham,2020-05-10,271,6,7,county
Connecticut,2020-05-11,34333,1189,3041,state
Fairfield,2020-05-11,13488,378,1046,county
Hartford,2020-05-11,7528,320,931,county
Litchfield,2020-05-11,1171,21,110,county
Middlesex,2020-05-11,823,40,116,county
New Haven,2020-05-11,9430,399,723,county
New London,2020-05-11,793,23,58,county
Tolland,2020-05-11,556,2,47,county
Windham,2020-05-11,281,6,7,county
Connecticut,2020-05-12,34855,1158,3125,state
Fairfield,2020-05-12,13636,372,1068,county
Hartford,2020-05-12,7732,296,963,county
Litchfield,2020-05-12,1179,18,110,county
Middlesex,2020-05-12,837,36,116,county
New Haven,2020-05-12,9570,404,745,county
New London,2020-05-12,804,24,60,county
Tolland,2020-05-12,560,3,49,county
Windham,2020-05-12,287,5,9,county
Connecticut,2020-05-13,35464,1103,3219,state
Fairfield,2020-05-13,13836,362,1093,county
Hartford,2020-05-13,7935,269,999,county
Litchfield,2020-05-13,1203,14,115,county
Middlesex,2020-05-13,863,31,118,county
